iter,state,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,0,13,1881.49,13,1881.49,3,2,33,299.214,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,0,12,1660.2,12,1660.2,0,3,33,299.064,0.21814,0.21814,0.21814,0.345581,0.21814,0.21814,0.345581,0.21814
2,0,12,1547.95,12,1547.95,3,2,33,298.914,0.31441,0.191272,0.191272,0.303045,0.191272,0.191272,0.303045,0.31441
3,0,12,1474.96,12,1474.96,0,2,33,298.765,0.267789,0.162894,0.162894,0.406423,0.162894,0.162894,0.406423,0.267789
4,0,11,1411.48,11,1411.48,3,3,33,298.616,0.372369,0.139614,0.139614,0.348402,0.132857,0.132857,0.515855,0.218431
5,0,10,1324.09,10,1324.09,0,2,33,298.466,0.311197,0.116656,0.116656,0.455491,0.11564,0.11564,0.449126,0.319594
6,0,10,1307.37,10,1307.37,3,3,33,298.317,0.419919,0.0982249,0.0982249,0.383631,0.0929648,0.0929648,0.557091,0.25698
7,0,10,1281.29,10,1281.29,0,2,33,298.168,0.346371,0.0809975,0.0809975,0.491634,0.0795976,0.0795976,0.477159,0.363646
8,0,10,1270.47,10,1270.47,3,3,33,298.019,0.456283,0.067359,0.067359,0.408999,0.0635253,0.0635253,0.582643,0.290307
9,0,10,1259.11,10,1259.11,3,2,33,297.87,0.373427,0.0551063,0.0551063,0.51636,0.0537367,0.0537367,0.493082,0.399445
10,0,10,1257.38,10,1257.38,3,2,33,297.721,0.294846,0.0434935,0.0434935,0.618167,0.0428079,0.0428079,0.59605,0.318334
11,0,9,1219.42,9,1219.42,0,3,33,297.572,0.224821,0.0331513,0.0331513,0.708876,0.032899,0.032899,0.689456,0.244747
12,0,9,1219.42,9,1241.66,3,3,9,297.423,0.326675,0.0287793,0.0287793,0.615766,0.0283391,0.0283391,0.594257,0.349065
13,0,9,1219.42,9,1232.84,3,3,13,297.274,0.343165,0.0302173,0.0302173,0.5964,0.0285967,0.0285967,0.600023,0.342783
14,0,9,1219.42,9,1232.44,0,2,13,297.126,0.343049,0.0301924,0.0301924,0.596566,0.0280352,0.0280352,0.5886,0.35533
15,0,9,1219.42,9,1232.44,0,2,9,296.977,0.355728,0.0295937,0.0295937,0.585084,0.0280319,0.0280319,0.588467,0.355469
